ticker,rows,start,end,shares_rows,shares_start,shares_end,shares_status,shares_missing,turnover_missing,status
AMN,5320,2001-11-13,2022-12-30,197,2016-08-05,2022-11-25,ok,3707.0,3707.0,ok
AMP,4354,2005-09-15,2022-12-30,227,2015-11-02,2022-12-16,ok,2550.0,2550.0,ok
AMPX,75,2022-09-15,2022-12-30,9,2022-09-17,2022-11-16,ok,2.0,2.0,ok
AMPX-W,0,,,0,,,empty_ohlc,,,empty
AMPY,2693,2012-04-20,2022-12-30,194,2017-05-19,2022-11-27,ok,1278.0,1278.0,ok
AMR,479,2021-02-08,2022-12-30,223,2017-08-11,2022-12-08,ok,0.0,0.0,ok
AMRC,3134,2010-07-22,2022-12-30,264,2015-07-30,2022-11-05,ok,1264.0,1264.0,ok
AMRZ,0,,,0,,,empty_ohlc,,,empty
AMT,5787,2000-01-03,2022-12-30,253,2015-10-29,2022-11-04,ok,3981.0,3981.0,ok
AMTB,1058,2018-10-18,2022-12-30,714,2018-10-29,2022-12-05,ok,7.0,7.0,ok
AMTD,860,2019-08-05,2022-12-30,274,2015-11-20,2022-09-02,ok,0.0,0.0,ok
AMTM,0,,,0,,,empty_ohlc,,,empty
AMWL,577,2020-09-17,2022-12-30,72,2020-09-23,2022-11-25,ok,4.0,4.0,ok
AMX,5507,2001-02-12,2022-12-30,800,2017-04-29,2022-12-31,ok,4078.0,4078.0,ok
AN,5787,2000-01-03,2022-12-30,254,2015-10-28,2022-12-07,ok,3980.0,3980.0,ok
ANDG,0,,,0,,,empty_ohlc,,,empty
ANET,2159,2014-06-06,2022-12-30,201,2015-11-06,2021-11-23,ok,359.0,359.0,ok
ANF,5787,2000-01-03,2022-12-30,221,2015-12-07,2022-12-08,ok,4007.0,4007.0,ok
ANG$D,0,,,0,,,empty_ohlc,,,empty
ANGX,0,,,0,,,empty_ohlc,,,empty
ANRO,0,,,0,,,empty_ohlc,,,empty
ANVS,738,2020-01-29,2022-12-30,68,2012-11-19,2022-12-07,ok,0.0,0.0,ok
AOD,3953,2007-04-23,2022-12-30,187,2015-03-31,2022-11-04,ok,1999.0,1999.0,ok
AOMD,0,,,0,,,empty_ohlc,,,empty
AOMN,0,,,0,,,empty_ohlc,,,empty
AOMR,389,2021-06-17,2022-12-30,55,2021-06-22,2022-12-22,ok,3.0,3.0,ok
AON,5787,2000-01-03,2022-12-30,199,2015-10-30,2022-12-30,ok,3982.0,3982.0,ok
AORT,5787,2000-01-03,2022-12-30,36,2022-01-26,2022-11-08,ok,5552.0,5552.0,ok
AOS,5787,2000-01-03,2022-12-30,244,2015-11-09,2022-12-07,ok,3988.0,3988.0,ok
AP,5787,2000-01-03,2022-12-30,197,2015-11-06,2022-11-19,ok,3987.0,3987.0,ok
APAM,2474,2013-03-07,2022-12-30,236,2015-11-02,2022-11-25,ok,670.0,670.0,ok
APD,5787,2000-01-03,2022-12-30,208,2015-11-24,2022-12-17,ok,3999.0,3999.0,ok
APG,675,2020-04-29,2022-12-30,70,2020-05-05,2023-01-01,ok,4.0,4.0,ok
APH,5787,2000-01-03,2022-12-30,216,2015-11-05,2022-12-08,ok,3986.0,3986.0,ok
APLE,1921,2015-05-18,2022-12-30,209,2015-11-06,2022-11-09,ok,121.0,121.0,ok
