ticker,rows,start,end,shares_rows,shares_start,shares_end,shares_status,failure_reason,status,shares_missing,turnover_missing
ADTX,632,2020-06-30,2022-12-30,0,,,missing,,ok,632.0,632.0
ADUR,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
ADUS,3317,2009-10-28,2022-12-30,0,,,missing,,ok,3317.0,3317.0
ADV,756,2020-01-02,2022-12-30,0,,,missing,,ok,756.0,756.0
ADVB,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
ADXN,728,2020-02-12,2022-12-30,0,,,missing,,ok,728.0,728.0
AEAQ,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
AEAQU,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
AEAQW,0,,,0,,,empty_ohlc,possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01),empty,,
AEBI,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
AEC,2719,2012-03-14,2022-12-30,0,,,missing,,ok,2719.0,2719.0
AEHL,3787,2007-12-17,2022-12-30,0,,,missing,,ok,3787.0,3787.0
AEHR,5787,2000-01-03,2022-12-30,0,,,missing,,ok,5787.0,5787.0
AEI,528,2020-11-25,2022-12-30,0,,,missing,,ok,528.0,528.0
AEIS,5787,2000-01-03,2022-12-30,0,,,missing,,ok,5787.0,5787.0
AEMD,5787,2000-01-03,2022-12-30,0,,,missing,,ok,5787.0,5787.0
AENT,448,2021-03-24,2022-12-30,0,,,missing,,ok,448.0,448.0
AENTW,0,,,0,,,empty_ohlc,possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01),empty,,
AERT,261,2021-12-17,2022-12-30,0,,,missing,,ok,261.0,261.0
AERTW,0,,,0,,,empty_ohlc,possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01),empty,,
AEVA,718,2020-02-27,2022-12-30,0,,,missing,,ok,718.0,718.0
AEVAW,0,,,0,,,empty_ohlc,possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01),empty,,
AEYE,2439,2013-04-26,2022-12-30,0,,,missing,,ok,2439.0,2439.0
AFBI,1430,2017-04-28,2022-12-30,0,,,missing,,ok,1430.0,1430.0
AFCG,451,2021-03-19,2022-12-30,0,,,missing,,ok,451.0,451.0
AFJK,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
AFJKR,0,,,0,,,empty_ohlc,possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01),empty,,
AFJKU,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
AFRI,480,2021-02-05,2022-12-30,0,,,missing,,ok,480.0,480.0
AFRIW,0,,,0,,,empty_ohlc,possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01),empty,,
AFRM,496,2021-01-13,2022-12-30,0,,,missing,,ok,496.0,496.0
AFYA,871,2019-07-19,2022-12-30,0,,,missing,,ok,871.0,871.0
AGAE,1305,2017-10-25,2022-12-30,0,,,missing,,ok,1305.0,1305.0
AGCC,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
AGEN,5762,2000-02-08,2022-12-30,0,,,missing,,ok,5762.0,5762.0
AGH,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
AGIO,2378,2013-07-24,2022-12-30,0,,,missing,,ok,2378.0,2378.0
AGMB,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
AGMH,1186,2018-04-18,2022-12-30,0,,,missing,,ok,1186.0,1186.0
AGNC,3684,2008-05-15,2022-12-30,0,,,missing,,ok,3684.0,3684.0
AGNCL,79,2022-09-09,2022-12-30,0,,,missing,,ok,79.0,79.0
AGNCM,965,2019-03-06,2022-12-30,0,,,missing,,ok,965.0,965.0
AGNCN,1354,2017-08-16,2022-12-30,0,,,missing,,ok,1354.0,1354.0
AGNCO,822,2019-09-27,2022-12-30,0,,,missing,,ok,822.0,822.0
AGNCP,733,2020-02-05,2022-12-30,0,,,missing,,ok,733.0,733.0
AGNCZ,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
AGPU,3190,2010-05-03,2022-12-30,0,,,missing,,ok,3190.0,3190.0
AGRZ,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
AGYS,5787,2000-01-03,2022-12-30,0,,,missing,,ok,5787.0,5787.0
AHCO,1156,2018-05-31,2022-12-30,0,,,missing,,ok,1156.0,1156.0
AHG,1298,2017-11-03,2022-12-30,0,,,missing,,ok,1298.0,1298.0
AHMA,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
AIFF,5787,2000-01-03,2022-12-30,0,,,missing,,ok,5787.0,5787.0
AIFU,3818,2007-11-01,2022-12-30,0,,,missing,,ok,3818.0,3818.0
AIHS,1207,2018-03-19,2022-12-30,0,,,missing,,ok,1207.0,1207.0
AIIO,702,2020-03-20,2022-12-30,0,,,missing,,ok,702.0,702.0
AIIOW,0,,,0,,,empty_ohlc,possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01),empty,,
AIMD,499,2021-01-08,2022-12-30,0,,,missing,,ok,499.0,499.0
AIMDW,0,,,0,,,empty_ohlc,possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01),empty,,
